Pasteurella_1	Pasteurella_2	Pasteurella_3	Pasteurella_4	Pasteurella_5	Pasteurella_6	Pasteurella_7	Pasteurella_8	Pasteurella_9	Pasteurella_10	Pasteurella_11	Pasteurella_12	Pasteurella_13	Pasteurella_14	Pasteurella_15	Pasteurella_16	Pasteurella_17	Pasteurella_18	Pasteurella_19	Pasteurella_20	Staphylococcus_1	Staphylococcus_2	Staphylococcus_3	Staphylococcus_4	Staphylococcus_5	Staphylococcus_6	Staphylococcus_7	Staphylococcus_8	Staphylococcus_9	Staphylococcus_10	Staphylococcus_11	Staphylococcus_12	Staphylococcus_13	Staphylococcus_14	Staphylococcus_15	Staphylococcus_16	Staphylococcus_17	Staphylococcus_18	Staphylococcus_19	Staphylococcus_20	Pseudomonas_1	Pseudomonas_2	Pseudomonas_3	Pseudomonas_4	Pseudomonas_5	Pseudomonas_6	Pseudomonas_7	Pseudomonas_8	Pseudomonas_9	Pseudomonas_10	Pseudomonas_11	Pseudomonas_12	Pseudomonas_13	Pseudomonas_14	Pseudomonas_15	Pseudomonas_16	Pseudomonas_17	Pseudomonas_18	Pseudomonas_19	Pseudomonas_20	taxonomy
82	0	45	0	0	1	5	5	1	58	116	2	167	30	0	10	0	71	203	60	0	124	1	1	2	102	23	69	0	1	1	0	16	4	79	5	0	60	3	2	16	10	53	20	6	58	25	8	10	20	0	113	32	1	6	0	53	79	2	26	32	unclassified|94_96
89	1	126	123	126	41	1	1	3	126	1	2	121	0	2	53	104	45	167	26	0	21	39	11	203	0	53	219	8	40	25	25	40	23	20	6	79	79	10	26	5	5	79	0	0	0	50	10	0	45	0	116	2	30	53	0	0	116	2	26	2	Micrococcus|97_97
2363	0	1	32	0	0	41	1	1	1	2	2	19	69	2	219	1	5	0	29	43	167	934	7	0	2	39	0	2	58	12	0	79	1	50	0	32	2	79	50	12	43	20	2	5	0	58	0	47	5	0	50	50	43	2	50	124	0	0	0	2	Prevotella|91_98
97	20	36	86	41	104	29	41	0	1	32	29	40	15	88	2	3	11	7	58	32	20	43	39	71	58	0	1	69	121	2	22	3	47	69	2	53	20	0	50	116	0	0	26	0	71	86	1	0	88	53	88	79	121	0	23	0	0	50	25	3	Cloacibacterium|96_99
92	50	43	43	1	58	116	77	1	124	0	58	25	194	5	23	0	1	1	194	121	45	0	26	53	32	1	20	219	241	47	1	102	8	0	60	5	1	2	16	0	219	0	126	203	104	0	3	40	0	3	12	1	86	32	1	10	69	2	4	26	unclassified|97_100
102	0	3	25	29	2462	0	47	0	10	10	79	71	5	167	53	51	1	0	51	10	2	241	2	16	1	0	1	43	86	79	12	41	41	2462	20	123	2462	30	0	1	32	2	0	47	1	2462	79	0	86	0	123	53	0	2	15	1	1	58	20	29	Gardnerella|97_101
94	15	1	5	0	7	58	43	22	25	60	86	2	69	77	60	2	121	25	58	126	0	0	2	30	86	86	194	4	0	26	1	26	5	88	7	51	79	10	0	20	0	86	29	7	0	203	71	12	22	1	219	36	25	1	86	29	5	102	39	79	Ohtaekwangia|100_102
105	0	16	0	0	50	50	2	6	12	88	0	1	0	7	0	43	2	0	0	36	41	20	58	2	4	5	116	32	0	194	10	86	1	0	124	0	6	43	0	10	71	51	51	56	0	40	36	77	20	934	43	124	113	69	86	23	11	3	51	0	unclassified|99_103
108	1	5	69	123	121	1	88	10	10	0	26	2	77	0	45	20	16	104	32	2	2462	50	0	0	2462	60	5	124	3	36	102	41	5	1	58	102	167	126	0	11	5	25	19	29	50	1	121	0	50	0	69	0	0	0	0	0	6	0	12	934	Varibaculum|100_104
5926	1	86	219	71	2	53	25	0	0	2	0	5	0	0	12	88	39	16	934	104	0	53	69	0	0	2462	0	5	167	2	5	3	30	934	1	20	5	25	0	113	16	0	40	10	10	1	10	50	1	41	3	10	2	88	21	0	1	2	2	20	unclassified|78_105
119	22	1	5	32	6	219	0	25	116	0	0	2462	32	0	32	12	50	8	11	26	43	121	88	0	29	5	2	10	0	2462	241	10	203	8	39	2	934	12	79	2	19	5	56	5	102	3	79	116	1	36	0	121	86	0	219	19	123	2	2462	123	Dickeya|74_106
129	41	71	58	23	3	16	10	26	10	113	56	45	25	0	10	0	19	2	2	0	8	0	25	77	86	88	12	0	2	41	23	1	19	20	1	7	10	0	86	1	121	0	0	50	0	3	0	0	203	26	58	6	1	71	43	102	0	29	123	102	Methylobacterium|94_107
126	2462	116	19	16	2	12	0	86	56	20	5	1	0	0	11	6	56	50	5	12	5	25	10	102	8	5	21	0	88	0	51	12	0	47	40	0	2	7	21	2	116	0	0	50	47	124	0	22	0	6	4	41	102	113	10	41	2	71	5	126	unclassified|77_108
147	113	69	15	15	23	5	0	10	29	0	0	0	4	20	8	45	104	116	20	25	102	32	1	219	16	45	104	41	22	0	1	5	5	2	53	934	126	21	0	20	2	0	102	77	25	69	2	29	3	1	1	2	29	26	30	10	0	32	1	25	Peptoniphilus|99_109
148	0	30	0	0	86	32	45	8	86	10	113	104	0	79	40	0	0	0	0	0	4	2	116	29	0	0	19	69	20	19	0	0	2462	0	53	3	50	167	22	5	0	41	26	86	86	53	77	5	3	22	86	0	26	20	58	10	0	0	29	2	Atopobium|98_110
168	2	3	124	0	79	126	0	58	6	16	47	69	40	1	32	16	0	21	2462	0	0	88	0	0	6	2	69	0	21	58	20	241	5	1	29	10	20	10	39	194	58	7	2	10	32	43	113	121	5	25	934	113	2	50	0	0	5	51	0	2462	unclassified|71_111
190	6	88	3	69	0	88	30	23	2	3	53	113	51	0	0	19	0	12	3	0	32	8	43	0	3	1	0	10	2462	3	1	22	6	0	0	0	32	50	50	10	3	203	86	41	20	7	88	167	39	124	10	69	20	41	1	2	20	88	104	3	Bifidobacterium|98_112
230	12	934	934	3	53	1	21	25	0	2462	20	51	21	32	0	1	0	56	53	5	26	7	5	3	3	5	36	77	104	58	41	121	0	43	203	41	40	0	10	167	124	53	2	121	69	0	11	1	0	20	1	1	8	8	5	26	0	79	0	0	Aerococcus|73_113
271	51	29	86	79	10	102	32	50	6	0	124	58	88	121	26	0	4	15	0	50	25	6	0	0	19	3	47	50	0	50	86	2	29	121	1	50	1	16	29	0	32	79	167	32	5	2	219	0	21	20	194	0	3	23	50	0	0	241	43	6	unclassified|72_114
316	219	0	0	19	41	5	79	0	0	32	0	8	0	69	1	79	0	124	0	58	116	1	3	50	7	116	0	20	0	20	79	219	0	41	2	40	10	60	2	126	1	3	1	0	40	0	0	26	123	41	5	0	1	20	3	30	58	53	0	19	unclassified|88_115
